Address  Disassembly                                     String                                                                                                                                                                                                                                                                                   
772900C7 push ntdll.772900D5                             "[Pj"
77350F0E push ntdll.772AB6F8                             "Invalid allocation size - %x (exceeded %x)\n"
77350FD2 mov ebx,ntdll.772AB864                          "RtlReAllocateHeap"
77351098 push ntdll.772A8E70                             "HEAP[%wZ]: "
773510A5 push ntdll.772A8E68                             "HEAP: "
773510B9 push ntdll.772AB836                             "About to reallocate block at %p to %x bytes\n"
77351185 push ntdll.772A8E70                             "HEAP[%wZ]: "
77351192 push ntdll.772A8E68                             "HEAP: "
773511AD push ntdll.772AB7FA                             "About to rellocate block at %p to 0x%x bytes with tag %ws\n"
773512A3 push ntdll.772A8E70                             "HEAP[%wZ]: "
773512B0 push ntdll.772A8E68                             "HEAP: "
773512C4 push ntdll.772AB7D0                             "Just reallocated block at %p to %x bytes\n"
77351334 push ntdll.772A8E70                             "HEAP[%wZ]: "
77351341 push ntdll.772A8E68                             "HEAP: "
7735135C push ntdll.772AB796                             "Just reallocated block at %p to 0x%x bytes with tag %ws\n"
77351390 push ntdll.772A8E70                             "HEAP[%wZ]: "
7735139D push ntdll.772A8E68                             "HEAP: "
773513AC push ntdll.772AB6F8                             "Invalid allocation size - %x (exceeded %x)\n"
77351473 mov ebx,ntdll.772AB8BA                          "RtlFreeHeap"
77351504 push ntdll.772A8E70                             "HEAP[%wZ]: "
77351511 push ntdll.772A8E68                             "HEAP: "
77351522 push ntdll.772AB89E                             "About to free block at %p\n"
773515E9 push ntdll.772A8E70                             "HEAP[%wZ]: "
773515F6 push ntdll.772A8E68                             "HEAP: "
7735160E push ntdll.772AB876                             "About to free block at %p with tag %ws\n"
773516FA push ntdll.772AB8C6                             "RtlGetUserInfoHeap"
7735174F push ntdll.772AB8C6                             "RtlGetUserInfoHeap"
77351824 push ntdll.772AB8DA                             "RtlSetUserValueHeap"
77351879 push ntdll.772AB8DA                             "RtlSetUserValueHeap"
7735196D push ntdll.772AB8EE                             "RtlSetUserFlagsHeap"
773519C2 push ntdll.772AB8EE                             "RtlSetUserFlagsHeap"
77351AA1 push ntdll.772AB902                             "RtlSizeHeap"
77351AF5 push ntdll.772AB902                             "RtlSizeHeap"
77351BBE push ntdll.772AB90E                             "RtlCompactHeap"
77351CBC push ntdll.772AB91E                             "RtlZeroHeap"
77351D89 push ntdll.772AB92A                             "RtlCreateTagHeap"
77351E75 push ntdll.772AB93C                             "RtlQueryTagHeap"
77351F4D push ntdll.772AB94C                             "RtlWalkHeap"
77355D86 mov dword ptr ss:[ebp-24],ntdll.77355FF0        "pow"
77355DBE mov dword ptr ss:[ebp-24],ntdll.77355FEC        "exp"
77355DF2 mov dword ptr ss:[ebp-24],ntdll.77355FEC        "exp"
77355DFB mov dword ptr ss:[ebp-24],ntdll.77355FE4        "log10"
77355E16 mov dword ptr ss:[ebp-24],ntdll.77355FE4        "log10"
77355E22 mov dword ptr ss:[ebp-24],ntdll.77355FE0        "log"
77355E2E mov dword ptr ss:[ebp-24],ntdll.77355FE0        "log"
77355E3A mov dword ptr ss:[ebp-24],ntdll.77355FF0        "pow"
77355E5F mov dword ptr ss:[ebp-24],ntdll.77355FD8        "asin"
77355E68 mov dword ptr ss:[ebp-24],ntdll.77355FD0        "acos"
77355E71 mov dword ptr ss:[ebp-24],ntdll.77355FF0        "pow"
77355E7E mov dword ptr ss:[ebp-24],ntdll.77355FF0        "pow"
77355EA4 mov dword ptr ss:[ebp-24],ntdll.77355FC8        "exp10"
77355EC6 mov dword ptr ss:[ebp-24],ntdll.77355FE0        "log"
77355ECF mov dword ptr ss:[ebp-24],ntdll.77355FE4        "log10"
77355ED8 mov dword ptr ss:[ebp-24],ntdll.77355FEC        "exp"
77355EE1 mov dword ptr ss:[ebp-24],ntdll.77355FC0        "atan"
77355EEA mov dword ptr ss:[ebp-24],ntdll.77355FB8        "ceil"
77355EF3 mov dword ptr ss:[ebp-24],ntdll.77355FB0        "floor"
77355EFF mov dword ptr ss:[ebp-24],ntdll.77355FA8        "modf"
77355F0B mov dword ptr ss:[ebp-24],ntdll.77355FA4        "sin"
77355F14 mov dword ptr ss:[ebp-24],ntdll.77355FA0        "cos"
77355F1D mov dword ptr ss:[ebp-24],ntdll.77355F9C        "tan"
773566AA mov eax,dword ptr ds:[eax*8+77386C04]           &"exp"
77359727 mov eax,dword ptr ds:[77386BF0]                 &"(null)"
7735978F mov eax,dword ptr ds:[77386BF4]                 &L"(null)"
773598B7 mov eax,dword ptr ds:[77386BF0]                 &"(null)"
7735D016 push ntdll.7735D068                             L"%s_%d"
7735E1F6 push ntdll.7735E284                             L"%d"
7735EBE6 mov esi,ntdll.772E482C                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\lpc.c"
7735EBFE push ntdll.7731E77C                             "Alpc = %p\n"
7735EC05 push ntdll.7735ED24                             "TpWaitForAlpcCompletion"
7735EC1A mov edi,ntdll.772EDD10                          "TppAlpcpValidateAlpc"
7735EC31 push ntdll.772EC2B8                             "FALSE"
7735EC37 push ntdll.7731E738                             "Alpc = %p, ValidateForRelease = %hs\n"
7735EC8F push ntdll.7731E730                             "TRUE\n"
7735ECC3 push ntdll.7735ED24                             "TpWaitForAlpcCompletion"
7735ED18 push ntdll.7731E728                             "FALSE\n"
7735ED6A push ntdll.7731E77C                             "Alpc = %p\n"
7735ED71 push ntdll.7735EF58                             "TpAlpcRegisterCompletionList"
7735ED7B mov edi,ntdll.772E482C                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\lpc.c"
7735ED88 mov edi,ntdll.772E482C                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\lpc.c"
7735ED92 mov ebx,ntdll.772EDD10                          "TppAlpcpValidateAlpc"
7735EDA9 push ntdll.772EC2B8                             "FALSE"
7735EDAF push ntdll.7731E738                             "Alpc = %p, ValidateForRelease = %hs\n"
7735EE0F push ntdll.7731E730                             "TRUE\n"
7735EEE7 push ntdll.7731E728                             "FALSE\n"
7735EF1B mov edi,ntdll.772E482C                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\lpc.c"
7735EF3E push ntdll.7735EF58                             "TpAlpcRegisterCompletionList"
7735EF8B mov esi,ntdll.772E482C                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\lpc.c"
7735EFA5 push ntdll.7731E77C                             "Alpc = %p\n"
7735EFAC push ntdll.7735F128                             "TpAlpcUnregisterCompletionList"
7735EFC2 mov edi,ntdll.772EDD10                          "TppAlpcpValidateAlpc"
7735EFD9 push ntdll.772EC2B8                             "FALSE"
7735EFE1 push ntdll.7731E738                             "Alpc = %p, ValidateForRelease = %hs\n"
7735F047 push ntdll.7731E730                             "TRUE\n"
7735F0B6 push ntdll.7735F128                             "TpAlpcUnregisterCompletionList"
7735F111 push ntdll.7731E728                             "FALSE\n"
7735F15B mov ebx,ntdll.772E67FC                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\io.c"
7735F173 push ntdll.7731E7B8                             "Io = %p\n"
7735F17A push ntdll.7735F1F4                             "TppIopCancelPendingCallbacks"
7735F1DC push ntdll.7735F1F4                             "TppIopCancelPendingCallbacks"
7735F4B2 mov ebx,ntdll.772D9788                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\pool.c"
7735F4CC push ntdll.7731E7E8                             "Pool = %p\n"
7735F4D3 push ntdll.7735F5B4                             "TpPoolFreeUnusedNodes"
7735F53B push ntdll.7731E76C                             "Status: %08x\n"
7735F542 push ntdll.7735F5B4                             "TpPoolFreeUnusedNodes"
7735F58D push ntdll.7731E76C                             "Status: %08x\n"
7735F594 push ntdll.7735F5B4                             "TpPoolFreeUnusedNodes"
7735F5DB mov edi,ntdll.7735F68C                          "TppTimerpStopCallbackGeneration"
7735F5E0 mov esi,ntdll.772B2798                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\timer.c"
7735F5F5 mov eax,ntdll.7731E760                          "TRUE"
7735F5FC mov eax,ntdll.772EC2B8                          "FALSE"
7735F60A push ntdll.7735F65C                             "CleanupGroupMember = %p, CancelCallbacks = %hs\n"
7735F705 mov edi,ntdll.7735F774                          "TppWaitpStopCallbackGeneration"
7735F70A mov esi,ntdll.772C4168                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\wait.c"
7735F724 push ntdll.7731E934                             "Wait = %p\n"
7735F7A7 mov edi,ntdll.772DC908                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
7735F7BF push ntdll.7731E99C                             "Work = %p\n"
7735F7C6 push ntdll.7735F858                             "TppWorkCancelPendingCallbacks"
7735F841 push ntdll.7735F858                             "TppWorkCancelPendingCallbacks"
7735F8A0 push ntdll.7731E99C                             "Work = %p\n"
7735F8A7 push ntdll.7735F940                             "TppWorkUnposted"
7735F8B1 push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
7735F925 push ntdll.7735F940                             "TppWorkUnposted"
7735F92F push ntdll.772DC908                             "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
7735F968 mov edi,ntdll.7735FA4C                          "TpCallbackSetEventOnCompletion"
7735F96D mov esi,ntdll.772C4E90                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\callback.c"
7735F988 push ntdll.7735FA30                             "Instance = %p, Event = %p\n"
7735FA83 mov ebx,ntdll.7735FB74                          "TpCallbackReleaseSemaphoreOnCompletion"
7735FA88 mov edi,ntdll.772C4E90                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\callback.c"
7735FAA3 push ntdll.7735FB54                             "Instance = %p, Semaphore = %p\n"
7735FBB3 mov edi,ntdll.7735FC94                          "TpCallbackReleaseMutexOnCompletion"
7735FBB8 mov esi,ntdll.772C4E90                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\callback.c"
7735FBD3 push ntdll.7735FC78                             "Instance = %p, Mutex = %p\n"
7735FCCF mov edi,ntdll.7735FDB8                          "TpCallbackLeaveCriticalSectionOnCompletion"
7735FCD4 mov esi,ntdll.772C4E90                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\callback.c"
7735FCEF push ntdll.7735FD90                             "Instance = %p, CriticalSection = %p\n"
7735FDFB mov edi,ntdll.7735FEE0                          "TpCallbackUnloadDllOnCompletion"
7735FE00 mov esi,ntdll.772C4E90                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\callback.c"
7735FE1B push ntdll.7735FEC0                             "Instance = %p, DllHandle = %p\n"
7736000C push dword ptr ds:[esi+77360074]                &"ERROR"
77360037 push ntdll.7736009C                             "%04x @ %08u: %s: %s: "
7736045E mov edi,ntdll.773604E8                          "TppWaiterpWaitTimerExpired"
77360463 mov esi,ntdll.772C4194                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\waiter.c"
7736047E push ntdll.7731EA14                             "Tcb = %p, Wait = %p\n"
773609B5 push ntdll.77360A6C                             ".sb_data"
77361230 push ntdll.77361370                             L"\\Registry\\Machine\\Software\\Policies\\Microsoft\\Windows\\Appcompat\\"
7736123A mov esi,ntdll.7736135C                          L"AITEnable"
